"uwi","operator_licensee","producing_formation","field_name","well_status","well_fluid_type","surface_latitude","surface_longitude","last_oil_production_rate","cumulative_oil_production","recent_oil","recent_gas","recent_water","recent_steam_injection","last_production_date","spud_date"
"100072306206W600","Spoke Resources Ltd.","Bluesky","KAKWA","Active","Gas",54.3747057,-118.7824395,0,0,0,3.700000047683716,0,0,"2026-01-01","1983-02-06"
"100061605418W500","Pine Cliff Energy Ltd.","Bluesky","EDSON","Active","Gas",53.6624467,-116.5974034,0,0,0,73.5999984741211,0,0,"2026-01-01","1983-03-16"
"100063107409W602","Tidewater Midstream and Infrastructure Ltd.","Bluesky","VALHALLA","Active","Gas",55.45357,-119.3727893,0,0,0,91.9000015258789,0,0,"2026-01-01","1983-05-07"
"100062407608W602","Canadian Natural Resources Limited","Bluesky, Gething, Cadomin","VALHALLA","Active","Gas",55.5962728,-119.1050398,0,0,0,135.3999938964844,8,0,"2026-01-01","1983-08-20"
"100141807310W603","Canadian Natural Resources Limited","Bluesky, Gething, Cadomin, Nikanassin","WEMBLEY","Active","Gas",55.3273495,-119.5293978,0,0,0,299.7999877929688,10.10000038146973,0,"2026-01-01","1983-11-01"
"100051406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active","Crude Bitumen",54.6186341,-110.5063825,34.90000152587891,85317.703125,34.90000152587891,1.600000023841858,822.5999755859375,0,"2026-01-01","1983-12-07"
"106041406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active","Crude Bitumen",54.6185561,-110.5064606,77.19999694824219,70921.203125,77.19999694824219,3.400000095367432,243.1000061035156,0,"2026-01-01","1983-12-01"
"103031406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active","Crude Bitumen",54.6185171,-110.5065006,56,73014.5,56,2.5,158.5,0,"2026-01-01","1983-11-29"
"102131106504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active","Crude Bitumen",54.6181011,-110.5066516,69.5999984741211,80991.90625,69.5999984741211,3,846.4000244140625,0,"2026-01-01","1983-12-09"
"103131106504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active","Crude Bitumen",54.6180781,-110.5065856,38.5,57509.19921875,38.5,1.700000047683716,188.1999969482422,0,"2026-01-01","1983-12-06"
