"uwi","operator_licensee","producing_formation","field_name","well_status","surface_latitude","surface_longitude","last_oil_production_rate","cumulative_oil_production","last_production_date","spud_date"
"100051406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6186341,-110.5063825,34.90000152587891,85317.703125,"2026-01-01","1983-12-07"
"106041406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6185561,-110.5064606,77.19999694824219,70921.203125,"2026-01-01","1983-12-01"
"103031406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6185171,-110.5065006,56,73014.5,"2026-01-01","1983-11-29"
"102131106504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6181011,-110.5066516,69.5999984741211,80991.90625,"2026-01-01","1983-12-09"
"103131106504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6180781,-110.5065856,38.5,57509.19921875,"2026-01-01","1983-12-06"
"104131106504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6180561,-110.5065185,1.200000047683716,55896.1015625,"2026-01-01","1983-12-04"
"105131106504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6180321,-110.5064525,68,80004.40625,"2026-01-01","1983-12-01"
"110051406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6240021,-110.5086766,166.8000030517578,55949.80078125,"2026-01-01","1983-11-19"
"102091506504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6243721,-110.5088426,61.70000076293945,58066.8984375,"2026-01-01","1983-11-10"
"100081506504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6243321,-110.5088816,118.5999984741211,61079.30859375,"2026-01-01","1983-11-07"
"106051406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6242161,-110.5089986,62.20000076293945,109485.390625,"2026-01-01","1983-12-05"
"107051406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6242551,-110.5089606,155.6000061035156,74664.296875,"2026-01-01","1983-12-07"
"108051406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6242931,-110.5089196,306,70703.40625,"2026-01-01","1983-12-10"
"102081506504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6241771,-110.5090376,145.1000061035156,87624.703125,"2026-01-01","1983-12-01"
"104081506504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6240471,-110.5088106,95.9000015258789,75661.59375,"2026-01-01","1983-11-25"
"103081506504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6240711,-110.5088766,103.6999969482422,87716.09375,"2026-01-01","1983-11-28"
"109051406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6240251,-110.5087436,10.5,82250,"2026-01-01","1983-11-22"
"100121406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6246051,-110.5086076,51,41666.890625,"2026-01-01","1983-11-25"
"103121406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6245531,-110.5083006,175.6999969482422,60321.390625,"2026-01-01","1983-12-02"
"100091506504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6244111,-110.5088026,232.8000030517578,66713.1015625,"2026-01-01","1983-11-12"
"106121406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6244501,-110.5087636,295.2000122070312,63204.8984375,"2026-01-01","1983-11-14"
"107121406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6245671,-110.5086456,316,65309.69921875,"2026-01-01","1983-11-22"
"108121406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6245281,-110.5086866,484.6000061035156,72265.703125,"2026-01-01","1983-11-20"
"105051406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6244881,-110.5087246,248.6000061035156,72294.59375,"2026-01-01","1983-11-16"
"103051406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6231462,-110.5018215,211.1000061035156,76164.296875,"2026-01-01","1983-11-30"
"104051406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6230392,-110.5016605,196.8999938964844,58103.69921875,"2026-01-01","1983-12-03"
"108061406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6230162,-110.5015925,171.1999969482422,43249.8984375,"2026-01-01","1983-12-06"
"109061406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6229942,-110.5015255,172,64715.19921875,"2026-01-01","1983-12-08"
"104031406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6229702,-110.5014595,225.8999938964844,81268.1171875,"2026-01-01","1983-12-17"
"102041406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6185811,-110.5060765,170.3999938964844,70964.90625,"2026-01-01","1983-11-24"
"100031406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6185591,-110.5060095,241.8999938964844,85764.6875,"2026-01-01","1983-11-26"
"102031406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6185371,-110.5059435,318.2000122070312,105800.5,"2026-01-01","1983-11-28"
"103041406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6184401,-110.5065776,452.2000122070312,78600.5,"2026-01-01","1983-11-25"
"107041406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6184011,-110.5066166,120.3000030517578,113284.109375,"2026-01-01","1983-11-23"
"108041406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6183631,-110.5066566,63.59999847412109,64461.91015625,"2026-01-01","1983-11-21"
"109041406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6182471,-110.5067746,24.10000038146973,79778.890625,"2026-01-01","1983-11-14"
"110041406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6182861,-110.5067336,21.5,66597.203125,"2026-01-01","1983-11-16"
"100011506504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6182081,-110.5068126,152.6999969482422,130953.171875,"2026-01-01","1983-11-12"
"103021406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6188932,-110.4967824,157.3999938964844,65866.3984375,"2026-01-01","1983-12-31"
"105031406504W400","Imperial Oil Resources Limited","Clearwater","LEMING","Active",54.6187982,-110.4974244,141.8000030517578,73977.296875,"2026-01-01","1984-01-06"
