operator,suggested_username,login_email,role,target_segment,total_wells,oil_wells,clearwater_wells,bluesky_wells,onboarding_status,password_source
Imperial Oil Resources Limited,imperial-oil-resources-limited,imperial-oil-resources-limited@wellfi.local,viewer,oil-target,4109,4031,4109,0,planned,env:WELLFI_DEFAULT_COMPANY_PASSWORD
Canadian Natural Resources Limited,canadian-natural-resources-limited,canadian-natural-resources-limited@wellfi.local,viewer,oil-target,1777,1094,981,796,planned,env:WELLFI_DEFAULT_COMPANY_PASSWORD
Spur Petroleum Ltd.,spur-petroleum-ltd,spur-petroleum-ltd@wellfi.local,viewer,oil-target,937,742,937,0,planned,env:WELLFI_DEFAULT_COMPANY_PASSWORD
Tamarack Valley Energy Ltd.,tamarack-valley-energy-ltd,tamarack-valley-energy-ltd@wellfi.local,viewer,oil-target,750,665,750,0,planned,env:WELLFI_DEFAULT_COMPANY_PASSWORD
Baytex Energy Ltd.,baytex-energy-ltd,baytex-energy-ltd@wellfi.local,viewer,oil-target,516,484,4,512,planned,env:WELLFI_DEFAULT_COMPANY_PASSWORD
Headwater Exploration Inc.,headwater-exploration-inc,headwater-exploration-inc@wellfi.local,viewer,oil-target,400,294,396,4,planned,env:WELLFI_DEFAULT_COMPANY_PASSWORD
Obsidian Energy Ltd.,obsidian-energy-ltd,obsidian-energy-ltd@wellfi.local,viewer,oil-target,216,204,6,210,ready,env:WELLFI_DEFAULT_COMPANY_PASSWORD
Strathcona Resources Ltd.,strathcona-resources-ltd,strathcona-resources-ltd@wellfi.local,viewer,oil-target,384,191,384,0,planned,env:WELLFI_DEFAULT_COMPANY_PASSWORD
Rubellite Energy Inc.,rubellite-energy-inc,rubellite-energy-inc@wellfi.local,viewer,oil-target,124,122,123,1,planned,env:WELLFI_DEFAULT_COMPANY_PASSWORD
IPC Canada Ltd.,ipc-canada-ltd,ipc-canada-ltd@wellfi.local,viewer,oil-target,80,47,9,71,planned,env:WELLFI_DEFAULT_COMPANY_PASSWORD
Clear North Energy Corp.,clear-north-energy-corp,clear-north-energy-corp@wellfi.local,viewer,oil-target,42,31,42,0,planned,env:WELLFI_DEFAULT_COMPANY_PASSWORD
Woodcote Inc.,woodcote-inc,woodcote-inc@wellfi.local,viewer,oil-target,14,14,14,0,planned,env:WELLFI_DEFAULT_COMPANY_PASSWORD
ROK Resources Inc.,rok-resources-inc,rok-resources-inc@wellfi.local,viewer,oil-target,16,13,0,16,planned,env:WELLFI_DEFAULT_COMPANY_PASSWORD
